,year_of_purchase,date_of_purchase,type,og_nr,wc_nr,product,amount_in_kg,price_per_kg,total_payment_usd
9449,2020,2020-07-23,og,2860.0,,Rosella (subdariffa) petals (org),72.6,1.1,76.26
9302,2020,2020-07-24,og,2860.0,,Rosella (subdariffa) petals (org),27.0,1.1,29.7
9798,2021,2021-07-14,og,2860.0,,Rosella (subdariffa) petals (org),40.0,1.1,44.0
10591,2022,2022-08-23,og,2860.0,,Rosella (subdariffa) petals (org),67.0,1.1,74.0
10251,2022,2022-12-07,og,2860.0,,Rosella (subdariffa) petals (org),138.0,1.1,152.0
6739,2016,2016-07-21,og,2861.0,,Rosella (subdariffa) petals (org),54.7,1.1,60.0
7301,2017,2017-06-22,og,2861.0,,Rosella (subdariffa) seed (org),27.88,0.5,14.0
7400,2017,2017-07-14,og,2861.0,,Rosella (subdariffa) petals (org),212.8,1.1,234.0
7429,2017,2017-07-14,og,2861.0,,Rosella (subdariffa) seed (org),76.0,0.5,38.0
7728,2017,2017-08-08,og,2861.0,,Rosella (subdariffa) petals (org),41.74,1.1,46.0
7707,2017,2017-09-08,og,2861.0,,Rosella (subdariffa) petals (org),12.35,1.1,14.0
8253,2018,2018-07-17,og,2861.0,,Rosella (subdariffa) petals (org),253.2,1.1,278.52
8508,2018,2018-08-14,og,2861.0,,Rosella (subdariffa) seed (org),39.0,0.5,19.5
8456,2018,2018-09-21,og,2861.0,,Strophanthus (kombe) seed (con),8.0,10.5,84.0
8528,2018,2018-10-17,og,2861.0,,Strophanthus (kombe) seed (con),15.0,10.5,157.5
9309,2020,2020-07-24,og,2861.0,,Rosella (subdariffa) petals (org),242.4,1.1,266.64
9762,2021,2021-07-14,og,2861.0,,Rosella (subdariffa) petals (org),78.5,1.1,86.0
10483,2022,2022-08-24,og,2861.0,,Rosella (subdariffa) petals (org),222.0,1.1,244.0
10149,2022,2022-09-07,og,2861.0,,Rosella (subdariffa) petals (org),71.0,1.1,78.0
6647,2016,2016-07-21,og,2863.0,,Rosella (subdariffa) petals (org),143.5,1.1,158.0
7210,2017,2017-06-20,og,2863.0,,Rosella (subdariffa) petals (org),16.7,1.1,18.37
7211,2017,2017-06-20,og,2863.0,,Rosella (subdariffa) petals (org),43.02,1.1,47.32
7281,2017,2017-06-22,og,2863.0,,Rosella (subdariffa) seed (org),18.33,0.5,9.0
7441,2017,2017-07-15,og,2863.0,,Rosella (subdariffa) petals (org),64.69,1.1,71.0
7477,2017,2017-07-15,og,2863.0,,Rosella (subdariffa) petals (org),32.27,1.1,35.0
7491,2017,2017-07-15,og,2863.0,,Rosella (subdariffa) seed (org),11.72,0.5,6.0
7513,2017,2017-07-15,og,2863.0,,Rosella (subdariffa) seed (org),10.53,0.5,5.0
8199,2018,2018-07-17,og,2863.0,,Rosella (subdariffa) petals (org),90.2,1.1,99.22
8517,2018,2018-08-14,og,2863.0,,Rosella (subdariffa) seed (org),9.0,0.5,4.5
8419,2018,2018-09-21,og,2863.0,,Strophanthus (kombe) seed (con),8.0,10.5,84.0
8523,2018,2018-10-17,og,2863.0,,Strophanthus (kombe) seed (con),5.0,10.5,52.5
9104,2020,2020-07-23,og,2863.0,,Rosella (subdariffa) petals (org),121.6,1.1,133.76
9706,2021,2021-07-13,og,2863.0,,Rosella (subdariffa) petals (org),32.2,1.1,35.0
10122,2022,2022-08-07,og,2863.0,,Rosella (subdariffa) petals (org),128.0,1.1,141.0
6686,2016,2016-07-21,og,2865.0,,Rosella (subdariffa) petals (org),101.6,1.1,112.0
7201,2017,2017-06-20,og,2865.0,,Rosella (subdariffa) petals (org),71.97,1.1,79.16
