,date_updated,type,og_nr,wc_nr,total_area_(hectare),field_organic_status
1169,2017-10-10,og,13060.0,,3.2,Con
1174,2021-05-07,og,13061.0,,1.95,Mabagrown
1178,,og,13061.0,,,
9617,2017-10-10,og,13061.0,,2.4,Org
1149,2021-05-04,og,13062.0,,2.6,Con
9609,2018-01-17,og,13062.0,,2.3,Con
1182,2017-10-10,og,13063.0,,1.5,Con
1197,2018-01-18,og,13064.0,,2.4,Con
1142,2018-01-17,og,13065.0,,7.5,Con
1494,2020-05-15,og,13066.0,,2.0,Con
1492,2018-05-15,og,13066.0,,3.0,Con
1187,2017-10-10,og,13069.0,,7.0,Con
5483,2021-05-13,og,13069.0,,3.0,Con
5943,2021-05-04,og,13070.0,,3.8,Con
1189,2017-10-10,og,13070.0,,2.6,Org
472,2017-10-13,og,13071.0,,2.8,Con
475,2017-10-13,og,13072.0,,3.5,Org
9599,2017-10-12,og,13073.0,,5.0,Con
1005,2021-05-13,og,13073.0,,2.8000000000000003,Mabagrown
1013,2017-10-12,og,13074.0,,4.5,Org
1017,2017-10-12,og,13075.0,,4.0,Org
1028,2017-10-12,og,13076.0,,1.6,Con
1024,2017-10-12,og,13077.0,,5.6,Org
1032,2017-10-12,og,13078.0,,3.0,Org
175,2017-10-11,og,13079.0,,3.4,Con
1042,2017-10-12,og,13080.0,,2.7,Con
1046,2017-10-12,og,13081.0,,2.5,Con
179,2017-10-11,og,13082.0,,6.2,Org
204,2018-01-18,og,13083.0,,2.0,Con
189,2017-10-11,og,13084.0,,3.1,Con
193,2017-10-11,og,13085.0,,4.1,Org
210,2018-01-18,og,13086.0,,1.5,Con
1499,2018-05-15,og,13087.0,,2.0,Con
483,2017-10-13,og,13088.0,,4.9,Con
488,2017-10-13,og,13089.0,,4.4,Con
495,2017-10-13,og,13091.0,,3.4,Con
1506,2018-05-15,og,13092.0,,3.5,
499,2017-10-13,og,13095.0,,3.5,Con
1510,2018-05-15,og,13097.0,,1.1,Con
502,2017-10-13,og,13099.0,,8.0,Con
508,2017-10-13,og,13100.0,,5.5,Con
513,2017-10-13,og,13101.0,,3.2,Con
520,2017-10-13,og,13103.0,,4.7,Con
9593,2017-09-13,og,13105.0,,3.0,Con
721,2021-05-05,og,13105.0,,3.0,Con
9500,2017-10-23,og,13106.0,,7.4,Con
97,2021-05-04,og,13106.0,,4.8,Mabagrown
9509,2017-10-17,og,13107.0,,4.4,Con
113,2021-05-11,og,13107.0,,4.65,Con
9519,2017-10-17,og,13108.0,,4.5,Org
137,2021-05-03,og,13108.0,,4.5,Con
148,2021-05-03,og,13109.0,,3.4,Con
9529,2017-10-17,og,13109.0,,4.5,Con
591,2017-09-12,og,13110.0,,4.5,Org
596,2021-05-06,og,13112.0,,1.9,Mabagrown
9572,2017-09-21,og,13112.0,,1.9,Con
9578,2017-09-21,og,13114.0,,3.8,Con
604,2021-05-06,og,13114.0,,4.8,Con
9575,2019-09-21,og,13114.0,,1.0,Org
608,2017-09-12,og,13115.0,,3.5,Con
157,2017-10-23,og,13116.0,,2.9,Con
153,2017-10-17,og,13116.0,,2.1,Con
9511,2017-10-17,og,13117.0,,2.8000000000000003,Con
120,2021-05-06,og,13117.0,,2.8000000000000003,Con
9492,2017-11-22,og,13118.0,,1.8,Con
9491,2018-10-10,og,13118.0,,0.8,Con
9487,2018-11-22,og,13118.0,,0.5,Org
95,2021-05-11,og,13118.0,,3.1,Con
126,2017-10-23,og,13119.0,,2.8,Con
4218,2021-05-10,og,13119.0,,3.66,Con
4641,2021-05-08,og,13121.0,,1.0,Mabagrown
614,2017-09-12,og,13121.0,,5.5,Con
162,2017-10-23,og,13122.0,,2.0,Org
1066,2018-01-18,og,13123.0,,1.3,Con
313,2021-05-03,og,13123.0,,3.5,Con
9531,2017-09-16,og,13123.0,,3.5,Org
362,2018-01-15,og,13124.0,,3.1,Con
368,2017-10-10,og,13125.0,,7.0,Org
376,2017-09-16,og,13126.0,,2.5,Con
379,2017-09-20,og,13127.0,,4.8,Con
384,2018-09-20,og,13128.0,,2.0,Con
1058,2018-01-18,og,13128.0,,0.4,Con
387,2017-09-20,og,13129.0,,2.4,Org
315,2017-09-20,og,13131.0,,4.1,Con
342,2018-01-15,og,13132.0,,2.7,Con
343,2018-01-12,og,13132.0,,0.1,Con
395,2017-09-20,og,13135.0,,2.0,Con
402,2017-09-20,og,13137.0,,4.9,Con
409,2017-09-16,og,13138.0,,3.5,Con
414,2017-09-16,og,13139.0,,3.5,Con
416,2017-10-10,og,13140.0,,1.5,Org
322,2021-05-03,og,13141.0,,1.3,Con
9538,2017-09-16,og,13141.0,,1.3,Con
421,2017-10-10,og,13142.0,,2.5,Con
9550,2018-01-15,og,13143.0,,2.3,Con
426,2017-09-10,og,13144.0,,2.5,Con
347,2021-05-03,og,13145.0,,2.3,Mabagrown
429,2017-09-16,og,13145.0,,2.5,Con
2217,2018-03-18,og,13146.0,,2.0,Org
435,2017-09-16,og,13146.0,,2.0,Org
440,2017-09-20,og,13147.0,,1.6,Con
9552,2017-09-16,og,13148.0,,3.0,Org
452,2017-10-10,og,13149.0,,2.0,Con
360,2018-01-15,og,13150.0,,1.9000000000000001,Con
462,2017-09-20,og,13151.0,,6.8,Con
466,2021-05-06,og,13152.0,,1.3,Con
9557,2017-10-10,og,13152.0,,1.3,Org
128,2017-10-17,og,13153.0,,1.5,Con
168,2017-10-23,og,13154.0,,4.3,Org
9518,2017-10-23,og,13155.0,,2.2,Con
131,2021-05-04,og,13155.0,,2.2,Mabagrown
629,2017-10-20,og,13156.0,,2.0,Con
631,2017-10-20,og,13157.0,,4.4,Con
640,2017-09-25,og,13158.0,,2.4,Con
602,2017-10-20,og,13160.0,,4.4,Con
648,2017-10-20,og,13161.0,,3.0,Org
657,2017-10-24,og,13163.0,,4.0,Con
664,2017-10-24,og,13164.0,,3.4,Org
1604,2018-05-15,og,13164.0,,1.0,Con
1614,2018-05-15,og,13165.0,,0.5,Org
666,2017-10-24,og,13165.0,,3.8,Org
670,2014-10-24,og,13165.0,,1.0,Con
672,2017-10-24,og,13166.0,,2.5,Org
1616,2018-05-15,og,13166.0,,0.5,Org
209,2018-05-15,og,13167.0,,1.0,Con
679,2021-05-13,og,13167.0,,2.7,Con
9583,2017-10-24,og,13167.0,,2.7,Con
683,2017-10-09,og,13169.0,,2.4,Con
622,2017-10-17,og,13170.0,,4.4,Con
4799,2021-05-13,og,13170.0,,3.6,Con
689,2017-10-24,og,13171.0,,4.6,Con
4396,2021-05-03,og,13172.0,,2.6,Mabagrown
0,2017-09-18,og,13172.0,,4.4,Con
9464,2017-09-10,og,13173.0,,4.0,Con
10,2021-05-06,og,13173.0,,0.4,Con
9473,2017-09-18,og,13174.0,,6.8,Con
18,2021-05-12,og,13174.0,,6.0,Con
20,2021-05-13,og,13175.0,,2.9000000000000004,Con
9475,2017-11-15,og,13175.0,,1.0,Org
4426,2021-05-03,og,13176.0,,1.6,Con
28,2017-11-15,og,13176.0,,3.8,Con
32,2017-09-18,og,13177.0,,1.9,Con
37,2017-09-18,og,13179.0,,3.4000000000000004,Org
43,2017-09-18,og,13180.0,,3.2,Con
50,2017-09-18,og,13181.0,,3.5,Con
9479,2017-09-18,og,13182.0,,5.0,Con
55,2021-05-12,og,13182.0,,5.0,Con
72,2017-11-15,og,13183.0,,3.4,Org
78,2021-05-06,og,13184.0,,2.3,Mabagrown
9486,2017-11-15,og,13184.0,,2.3,Con
62,2017-09-18,og,13185.0,,4.4,Con
65,2017-09-18,og,13186.0,,6.1,Con
4547,2021-05-06,og,13187.0,,2.0,Con
83,2017-01-19,og,13187.0,,3.7,Org
1475,2018-05-14,og,13188.0,,7.199999999999999,Con
806,2017-11-28,og,13189.0,,5.2,Con
811,2017-11-30,og,13190.0,,1.3,Org
819,2017-11-30,og,13191.0,,1.1,Con
825,2017-11-30,og,13192.0,,2.5,Con
828,2017-11-30,og,13193.0,,3.3,Con
834,2017-11-30,og,13194.0,,4.0,Con
920,2017-11-28,og,13195.0,,5.2,Con
839,2017-11-30,og,13196.0,,2.6,Con
923,2017-11-29,og,13197.0,,2.5,Org
843,2017-11-30,og,13198.0,,2.0,Org
849,2017-11-28,og,13199.0,,1.6,Org
927,2017-11-29,og,13200.0,,2.2,Org
854,2017-11-28,og,13201.0,,2.2,Org
901,2017-11-30,og,13202.0,,1.7,Con
860,2017-11-28,og,13203.0,,2.4,Con
866,2017-11-28,og,13204.0,,1.3,Org
870,2017-11-28,og,13205.0,,2.6,Org
876,2017-11-28,og,13206.0,,2.0,Con
882,2017-11-28,og,13207.0,,5.2,Org
889,2017-11-28,og,13208.0,,5.0,Con
894,2017-11-30,og,13209.0,,1.5,Org
3140,2021-05-04,og,13210.0,,4.0,Con
579,2017-09-22,og,13210.0,,4.1,Org
575,2017-11-17,og,13211.0,,1.4,Org
1061,2018-01-18,og,13212.0,,3.9,Con
1588,2018-05-15,og,13212.0,,1.8,Con
9603,2017-11-17,og,13214.0,,3.5,Con
1073,2021-05-05,og,13214.0,,3.5,Con
1078,2017-11-18,og,13215.0,,3.9000000000000004,Con
1125,2017-11-18,og,13216.0,,5.8,Con
1085,2017-11-18,og,13217.0,,2.1,Org
1056,2018-01-18,og,13218.0,,0.5,Con
1094,2017-11-18,og,13219.0,,2.1,Con
1097,2017-11-18,og,13220.0,,2.5,Org
1050,2018-01-16,og,13221.0,,11.5,Con
1103,2017-11-18,og,13222.0,,0.9,Con
1129,2017-11-18,og,13223.0,,1.5,Con
1111,2017-11-18,og,13224.0,,3.8,Con
2933,2021-03-05,og,13225.0,,4.1,Con
1114,2017-11-18,og,13226.0,,1.9000000000000001,Con
212,2017-10-19,og,13227.0,,3.0,Org
1134,2017-11-18,og,13227.0,,1.6,Org
582,2017-09-21,og,13228.0,,4.7,Org
9569,2017-09-22,og,13229.0,,2.0,Org
590,2021-05-06,og,13229.0,,3.0,Con
1460,2018-05-14,og,13230.0,,4.0,Con
1118,2017-11-18,og,13231.0,,3.0,Org
529,2021-05-03,og,13232.0,,1.4000000000000001,Con
525,2021-04-03,og,13232.0,,2.0,Con
9560,2017-11-07,og,13232.0,,3.7,Con
532,2017-11-07,og,13233.0,,2.0,Con
1132,2017-11-18,og,13233.0,,2.4,Con
540,2017-11-07,og,13234.0,,1.9000000000000001,Con
543,2017-11-07,og,13235.0,,3.7,Org
553,2017-11-07,og,13236.0,,3.1,Con
555,2017-11-07,og,13237.0,,1.7000000000000002,Org
1454,2018-05-14,og,13237.0,,1.7000000000000002,Con
561,2017-11-09,og,13238.0,,2.3,Con
565,2017-11-07,og,13239.0,,1.1,Con
1450,2018-05-14,og,13241.0,,3.0,Con
568,2017-11-07,og,13243.0,,3.7,Con
724,2017-11-29,og,13244.0,,3.5,Org
732,2017-11-29,og,13245.0,,4.6,Con
4465,2021-05-08,og,13246.0,,3.6,Con
738,2017-12-04,og,13246.0,,12.2,Con
742,2017-11-29,og,13248.0,,3.5999999999999996,Org
749,2017-12-04,og,13250.0,,1.8,Con
911,2017-11-29,og,13251.0,,3.0,Con
753,2017-11-28,og,13254.0,,4.4,Con
762,2017-11-29,og,13255.0,,3.9,Con
767,2017-11-05,og,13256.0,,3.6,Con
769,2017-12-04,og,13257.0,,2.7,Org
774,2017-11-29,og,13258.0,,4.0,Con
777,2017-12-04,og,13260.0,,4.7,Org
783,2017-12-04,og,13261.0,,3.6,Con
788,2017-11-24,og,13262.0,,4.3,Con
907,2017-09-20,og,13263.0,,2.9,Con
795,2017-12-04,og,13264.0,,3.0,Con
798,2017-11-24,og,13265.0,,2.0,Con
803,2017-12-04,og,13266.0,,2.3,Con
325,2018-01-15,og,13270.0,,1.5,Con
9539,2018-01-15,og,13273.0,,7.4,Org
334,2021-05-06,og,13273.0,,7.4,Con
329,2018-01-15,og,13274.0,,1.8,Con
1153,2018-01-17,og,13275.0,,2.7,Con
221,2018-01-18,og,13276.0,,4.2,Con
1445,2018-05-14,og,13278.0,,4.3,Con
1438,2021-05-13,og,13280.0,,3.2,Con
9668,2018-05-14,og,13280.0,,11.0,Con
1435,2018-05-14,og,13281.0,,9.3,Con
1430,2018-05-14,og,13282.0,,0.0,Org
2123,2021-05-13,og,13284.0,,0.0,Mabagrown
9855,2018-06-12,og,13284.0,,0.0,Con
4143,2021-05-07,og,13285.0,,6.0,Con
1315,2021-03-04,og,13286.0,,7.8,Mabagrown
9665,2018-05-14,og,13286.0,,7.8,Con
1325,2018-05-14,og,13287.0,,5.8,Con
1336,2018-05-14,og,13288.0,,2.62,Con
1464,2018-05-14,og,13289.0,,0.4,Org
1472,2018-05-14,og,13290.0,,5.0,Con
1329,2018-05-14,og,13291.0,,0.0,
9683,2018-05-24,og,13351.0,,3.5,Con
9684,2018-05-24,og,13352.0,,5.5,Org
9689,2018-05-24,og,13353.0,,7.6,Org
9695,2018-05-24,og,13354.0,,4.5,Org
9701,2018-05-24,og,13355.0,,5.5,Con
9703,2018-05-24,og,13356.0,,2.5,Con
9706,2018-05-24,og,13357.0,,3.5,Con
9710,2018-05-24,og,13358.0,,2.5,Con
9712,2018-05-24,og,13359.0,,4.5,Con
9715,2018-05-24,og,13360.0,,3.0,Con
9718,2018-05-24,og,13361.0,,1.5,Con
9721,2018-05-24,og,13363.0,,6.1,Con
9728,2018-05-24,og,13364.0,,3.5,Con
9734,2018-05-24,og,13365.0,,5.5,Con
9736,2018-05-24,og,13366.0,,3.6,Con
9740,2018-05-24,og,13367.0,,4.0,Con
9743,2018-05-24,og,13368.0,,4.5,Con
9745,2018-05-24,og,13369.0,,3.0,Org
9748,2018-05-24,og,13370.0,,2.5,Org
9753,2018-05-24,og,13371.0,,3.0,Org
9757,2017-12-08,og,13372.0,,3.5,Org
9758,2017-12-08,og,13373.0,,3.25,Con
9766,2017-12-08,og,13375.0,,2.6,Org
9768,2017-12-08,og,13376.0,,2.8,Org
9771,2018-02-12,og,13379.0,,6.5,Con
9779,2018-02-12,og,13380.0,,3.0,Con
9781,2018-02-12,og,13385.0,,3.3,Con
9786,2018-02-12,og,13386.0,,5.0,Con
9792,2018-02-12,og,13387.0,,2.5,Con
9798,2018-02-12,og,13393.0,,4.0,Org
9800,2018-02-12,og,13394.0,,3.8,Con
9804,2018-02-12,og,13395.0,,2.3,Con
9807,2018-02-12,og,13396.0,,3.5,Con
9811,2018-02-12,og,13397.0,,4.2,Con
9816,2018-02-12,og,13398.0,,4.6,Con
9821,2018-02-12,og,13399.0,,3.5,Con
9825,2018-02-12,og,13401.0,,4.5,Con
9831,2018-02-12,og,13402.0,,3.5,Con
9834,2018-02-12,og,13403.0,,3.5,Con
9837,2018-02-12,og,13404.0,,2.8,Con
9841,2018-02-12,og,13405.0,,4.5,Con
9847,2018-02-12,og,13406.0,,3.8,Con
9850,2018-02-12,og,13407.0,,4.0,Org
9861,2018-12-08,og,13409.0,,2.5,Org
9862,2018-12-08,og,13410.0,,6.5,Org
9871,2018-12-08,og,13411.0,,4.5,Con
9877,2018-12-08,og,13412.0,,3.5,Org
9880,2018-12-08,og,13413.0,,3.5,Con
9882,2018-12-08,og,13414.0,,2.5,Con
9888,2018-12-08,og,13415.0,,3.5,Org
9889,2018-12-08,og,13416.0,,5.3,Con
9898,2018-12-08,og,13417.0,,5.6,Con
9903,2018-12-08,og,13418.0,,5.2,Con
9911,2018-12-08,og,13419.0,,2.0,Con
9916,2018-12-08,og,13420.0,,3.7,Con
9918,2018-12-08,og,13421.0,,4.5,Con
9923,2018-12-08,og,13422.0,,2.7,Con
9926,2018-12-08,og,13423.0,,3.0,Org
9931,2018-12-08,og,13424.0,,1.6,Org
9934,2018-12-08,og,13425.0,,2.8,Con
9937,2018-12-08,og,13426.0,,2.3,Con
9940,2018-12-08,og,13427.0,,3.5999999999999996,Con
9943,2018-12-08,og,13428.0,,2.6,Con
9945,2018-12-08,og,13429.0,,3.0,Con
9951,2018-12-08,og,13431.0,,2.7,Org
9952,2018-12-08,og,13432.0,,2.5,Con
9956,2018-12-08,og,13433.0,,1.5,Org
9958,2018-12-08,og,13434.0,,2.7,Org
9961,2017-12-11,og,13435.0,,2.0,Org
9964,2017-12-11,og,13436.0,,3.5,Con
9967,2017-12-11,og,13437.0,,3.5,Con
9971,2017-12-11,og,13438.0,,3.7,Con
9979,2017-12-11,og,13440.0,,4.0,Org
9980,2017-12-11,og,13442.0,,2.7,Org
9987,2017-12-08,og,13451.0,,4.1,Org
9988,2017-12-08,og,13452.0,,4.3,Con
9993,2017-12-08,og,13453.0,,3.5,Con
9997,2017-12-08,og,13454.0,,3.1,Con
10008,2017-12-08,og,13455.0,,4.0,Org
10009,2017-12-08,og,13456.0,,2.5,Org
10018,2017-12-08,og,13457.0,,4.8,Con
10021,2017-12-08,og,13458.0,,2.5,Org
10024,2017-12-08,og,13459.0,,3.0,Con
10028,2017-12-08,og,13460.0,,2.8,Con
10031,2017-12-08,og,13461.0,,6.3,Con
10041,2017-12-08,og,13462.0,,4.3,Org
10045,2017-12-08,og,13463.0,,3.5,Org
10053,2017-12-08,og,13465.0,,3.5,Org
10056,2017-12-08,og,13466.0,,2.5,Con
10061,2017-12-08,og,13467.0,,3.0,Org
10063,2017-12-08,og,13468.0,,3.5,Con
10068,2017-12-08,og,13469.0,,2.5,Con
10070,2017-12-08,og,13470.0,,3.4,Con
10075,2017-12-08,og,13471.0,,4.5,Con
10080,2017-12-08,og,13472.0,,3.5,Org
10083,2017-12-08,og,13473.0,,3.7,Con
10090,2017-12-08,og,13474.0,,4.5,Con
10097,2017-12-08,og,13475.0,,4.3,Org
10100,2017-12-08,og,13476.0,,3.5,Con
10107,2017-12-08,og,13477.0,,4.5,Org
10110,2017-12-08,og,13478.0,,4.5,Con
10113,2017-12-08,og,13479.0,,5.3,Con
10122,2017-12-08,og,13480.0,,3.1,Con
10125,2017-12-08,og,13481.0,,4.3,Con
10128,2017-12-08,og,13482.0,,4.9,Con
10133,2017-12-08,og,13483.0,,3.3,Con
10140,2017-12-08,og,13501.0,,3.5,Con
10141,2017-12-08,og,13502.0,,2.5,Org
10144,2017-12-08,og,13503.0,,2.5,Con
10148,2017-12-08,og,13504.0,,0.5,Org
10152,2017-12-08,og,13505.0,,0.5,
10153,2017-12-08,og,13506.0,,0.5,Org
10156,2017-12-08,og,13507.0,,0.5,Org
10162,2017-12-08,og,13508.0,,0.5,
10165,2017-12-08,og,13509.0,,0.5,
10166,2017-12-08,og,13510.0,,0.5,Org
10169,2017-12-08,og,13511.0,,0.5,Org
10174,2017-12-08,og,13512.0,,0.5,
10175,2017-12-08,og,13513.0,,0.5,Org
10179,2017-12-08,og,13514.0,,0.5,
10181,2017-12-08,og,13515.0,,0.5,
10184,2017-12-08,og,13516.0,,0.5,Org
10188,2017-12-08,og,13517.0,,0.5,
10191,2017-12-08,og,13520.0,,0.5,
10194,2017-12-08,og,13522.0,,0.5,
10200,2017-12-08,og,13523.0,,3.5,Org
10202,2017-12-08,og,13524.0,,0.5,
10205,2017-12-08,og,13525.0,,0.5,
10208,2017-12-08,og,13526.0,,0.5,
10211,2017-12-08,og,13527.0,,0.5,
10216,2017-12-08,og,13528.0,,0.5,Org
10217,2017-12-08,og,13529.0,,1.0,
10222,2017-12-08,og,13530.0,,0.5,
10225,2017-12-08,og,13531.0,,0.5,
10228,2017-12-08,og,13532.0,,0.5,Org
10232,2017-12-08,og,13533.0,,0.5,
10235,2017-12-08,og,13534.0,,0.5,
10237,2017-12-08,og,13535.0,,0.5,Org
9680,2017-12-08,og,13536.0,,0.5,
10240,2017-12-08,og,13537.0,,0.5,
10243,2017-12-08,og,13538.0,,0.5,
10248,2017-12-08,og,13539.0,,0.5,
10250,2017-12-08,og,13540.0,,0.5,
10253,2017-12-08,og,13541.0,,0.5,
10256,2017-12-08,og,13542.0,,0.5,
10260,2017-12-08,og,13543.0,,0.5,Org
10264,2017-12-08,og,13544.0,,0.5,
10267,2017-12-08,og,13545.0,,4.3,
10271,2017-12-08,og,13546.0,,0.5,
10274,2017-12-08,og,13548.0,,0.5,
1908,2018-05-16,og,13551.0,,0.0,Con
1912,2018-05-16,og,13552.0,,0.0,Org
1915,2018-05-16,og,13553.0,,0.0,Con
1918,2018-05-16,og,13554.0,,0.0,Org
1925,2018-05-16,og,13555.0,,0.0,Con
1930,2018-05-16,og,13556.0,,0.0,Org
1934,2018-05-16,og,13557.0,,0.0,Con
1937,2018-05-16,og,13558.0,,0.0,Con
1940,2018-05-16,og,13559.0,,0.0,Con
1944,2018-05-16,og,13560.0,,0.0,Con
1946,2018-05-16,og,13562.0,,0.0,Org
1952,2018-05-16,og,13563.0,,0.0,Org
1956,2018-05-16,og,13565.0,,0.0,Org
1959,2018-05-16,og,13566.0,,0.0,Org
1965,2018-05-16,og,13567.0,,0.0,Con
1969,2018-05-16,og,13568.0,,0.0,Con
1972,2018-05-16,og,13569.0,,0.0,Con
1978,2018-05-16,og,13570.0,,0.0,Con
1980,2018-05-16,og,13571.0,,0.0,Org
1988,2018-05-17,og,13572.0,,0.0,Con
1992,2018-05-17,og,13573.0,,0.0,
1994,2018-05-17,og,13574.0,,0.0,Org
2001,2018-05-17,og,13575.0,,0.0,Con
2003,2018-05-17,og,13576.0,,0.0,Org
2007,2018-05-17,og,13577.0,,0.0,Org
2009,2018-05-17,og,13578.0,,0.0,Org
2013,2018-05-17,og,13579.0,,0.0,Org
2017,2018-05-17,og,13580.0,,0.5,Org
482,2018-05-17,og,13581.0,,0.5,Con
2028,2018-05-17,og,13582.0,,0.0,Con
2034,2018-05-17,og,13583.0,,0.0,Con
2046,2018-05-17,og,13584.0,,0.0,Con
2052,2018-05-17,og,13585.0,,0.0,Org
2054,2018-05-17,og,13586.0,,0.5,Org
2040,2018-05-17,og,13587.0,,0.0,Con
1403,2018-05-14,og,13589.0,,1.0,Con
2065,2018-05-17,og,13591.0,,0.0,Org
1418,2018-05-14,og,13592.0,,0.0,
1421,2018-05-14,og,13593.0,,0.0,Con
2070,2018-05-17,og,13594.0,,0.0,Org
2060,2018-05-17,og,13595.0,,0.5,Org
2074,2018-05-17,og,13597.0,,2.0,Con
1300,2017-11-16,og,13601.0,,1.5,Con
1561,2018-05-15,og,13602.0,,1.4,Org
1565,2018-05-15,og,13603.0,,1.5,Org
1569,2018-05-15,og,13606.0,,0.9,Con
1305,2017-11-17,og,13607.0,,1.0,Con
1310,2017-11-16,og,13608.0,,1.4,Con
1123,2017-11-16,og,13609.0,,1.5,Con
1577,2018-05-15,og,13610.0,,2.6,Con
1581,2018-05-15,og,13611.0,,1.2,Con
1591,2018-05-15,og,13613.0,,2.4,Con
1627,2018-05-15,og,13619.0,,1.0,Con
1634,2018-05-15,og,13621.0,,1.5,Con
1297,2018-03-14,og,13622.0,,1.3,Con
1637,2018-05-15,og,13623.0,,1.1,Org
1640,2018-05-15,og,13624.0,,0.9,Con
1645,2018-05-15,og,13625.0,,1.0,Con
1648,2018-05-15,og,13626.0,,0.0,Org
1654,2018-05-15,og,13627.0,,1.5,Con
1660,2018-05-15,og,13629.0,,0.0,Org
1667,2018-05-15,og,13630.0,,0.7,Org
1669,2018-05-15,og,13631.0,,0.5,Org
1674,2018-05-15,og,13633.0,,0.0,Org
1681,2018-05-15,og,13634.0,,0.0,Org
1685,2018-05-15,og,13635.0,,0.0,Con
1690,2018-05-15,og,13636.0,,1.5,Con
1695,2018-05-15,og,13637.0,,0.0,Org
1700,2018-05-15,og,13638.0,,0.0,Org
1705,2018-05-15,og,13639.0,,0.0,Org
1709,2018-05-16,og,13641.0,,0.0,Con
1718,2018-05-16,og,13642.0,,0.0,Org
1720,2018-05-16,og,13643.0,,0.0,Org
1724,2018-05-16,og,13644.0,,0.0,Con
11031,2018-10-04,og,13645.0,,4.5,Con
1730,2018-05-16,og,13645.0,,0.0,Con
1733,2018-05-16,og,13646.0,,0.0,Con
1737,2018-05-16,og,13647.0,,0.5,Org
1744,2018-05-16,og,13651.0,,0.0,Con
1748,2018-05-16,og,13652.0,,0.0,Org
1370,2018-05-14,og,13653.0,,0.0,Org
1750,2018-05-16,og,13654.0,,0.0,Con
1755,2018-05-16,og,13655.0,,0.0,Org
1756,2018-05-16,og,13656.0,,0.0,Org
1768,2018-05-16,og,13657.0,,0.0,Con
1771,2018-05-16,og,13658.0,,2.5,Org
1775,2018-05-16,og,13659.0,,0.0,Con
1780,2018-05-16,og,13660.0,,0.0,Con
1495,2020-05-15,og,13660.0,,0.0,
1784,2018-05-16,og,13661.0,,0.0,Con
1340,2018-05-14,og,13662.0,,0.5,Org
1787,2018-05-16,og,13664.0,,0.0,Con
1791,2018-05-16,og,13665.0,,0.0,Org
1372,2018-05-14,og,13666.0,,0.0,Con
1799,2018-05-16,og,13667.0,,0.0,Con
1802,2018-05-16,og,13668.0,,0.0,Org
1807,2018-05-16,og,13670.0,,0.0,Con
1815,2018-05-16,og,13671.0,,0.0,Con
1821,2018-05-16,og,13672.0,,0.0,Org
1825,2018-05-16,og,13673.0,,0.0,Org
1830,2018-05-16,og,13674.0,,0.0,Con
1342,2018-05-14,og,13675.0,,0.5,Con
1424,2018-05-14,og,13676.0,,0.5,Con
1836,2018-05-16,og,13677.0,,0.0,Con
1840,2018-05-16,og,13678.0,,0.0,Con
1844,2018-05-16,og,13679.0,,0.0,Org
1849,2018-05-16,og,13680.0,,0.0,Org
1855,2018-05-16,og,13681.0,,0.0,Con
1858,2018-05-16,og,13682.0,,1.2,Con
1863,2018-05-16,og,13683.0,,0.0,Con
1869,2018-05-16,og,13684.0,,1.0,Con
1872,2018-05-16,og,13685.0,,0.5,Org
1875,2018-05-16,og,13686.0,,0.0,Con
1880,2018-05-16,og,13687.0,,0.0,Org
1887,2018-05-16,og,13688.0,,0.0,Con
1889,2018-05-16,og,13694.0,,0.0,Org
4251,2021-05-08,og,13743.0,,2.0,Mabagrown
6785,2021-05-04,og,13745.0,,1.2000000000000002,Mabagrown
1513,2018-05-15,og,13801.0,,0.0,Org
1523,2021-05-13,og,13802.0,,3.2,Con
9675,2018-05-15,og,13802.0,,0.0,Con
1526,2018-05-15,og,13803.0,,0.0,Con
1532,2018-05-15,og,13804.0,,0.5,Org
1537,2018-05-15,og,13805.0,,0.5,Con
1544,2018-05-15,og,13806.0,,0.0,Con
1547,2018-05-15,og,13807.0,,0.5,Org
1554,2018-05-15,og,13809.0,,0.5,Org
1358,2018-05-14,og,13951.0,,0.0,Org
1360,2018-05-14,og,13952.0,,1.5,Con
1389,2018-05-14,og,13953.0,,0.0,
1345,2018-05-14,og,13954.0,,0.0,Con
1391,2018-05-14,og,13956.0,,1.0,Org
1356,2018-05-14,og,13957.0,,0.0,Org
1379,2018-05-14,og,13958.0,,1.2,Org
1350,2018-05-14,og,13960.0,,2.0,Con
1415,2018-05-14,og,13963.0,,0.5,Con
1397,2018-05-14,og,13964.0,,0.5,Org
1896,2018-05-16,og,13965.0,,0.0,Con
1901,2018-05-16,og,13966.0,,0.0,Con
1401,2018-05-14,og,13967.0,,0.0,Org
1395,2018-05-14,og,13968.0,,1.5,Con
1363,2018-05-14,og,13969.0,,1.0,Org
1365,2018-05-14,og,13970.0,,0.0,Org
1410,2018-05-14,og,13971.0,,0.0,Con
1381,2018-05-14,og,13972.0,,0.0,Con
10645,2022-01-30,og,14001.0,,2.4,Org
10705,2022-01-22,og,14002.0,,2.3,Org
13222,2022-08-13,og,14002.0,,1.0,org uncert
11351,2018-10-05,og,14003.0,,2.7,Con
10614,2022-01-31,og,14004.0,,3.0,org uncert
12614,2022-08-15,og,14004.0,,3.0,org uncert
10635,2018-10-05,og,14005.0,,2.1,Org
12610,2022-08-15,og,14006.0,,2.3,Org
10676,2022-01-30,og,14006.0,,2.3,org uncert
10670,2018-10-05,og,14007.0,,0.0,Org
10718,2022-01-22,og,14008.0,,2.1,Org
